Platform,Category,Device Type,Device,CPU Score,GPU Score,MEM Score,UX Score,Total Score
Android,Performance,Pad,1HONOR MagicPad3 Pro 13.3 (S-8 Elite Gen 5 16+512),1224464,1397822,517237,912111,4051634
Android,Performance,Pad,2OnePlus Pad 2 Pro (S-8 Elite 16+512),1057575,1182344,410616,748916,3399451
Android,Performance,Pad,3Legion Pad Y700 Gen4 (S-8 Elite 12+256),970074,1153316,399769,645744,3168903
Android,Performance,Pad,4Red Magic Pad 3 Pro (S-8 Elite 12+256),948631,1088840,414531,700226,3152228
Android,Performance,Pad,5REDMI K Pad (M-9400+ 8+256),838319,994676,375365,604643,2813003
Android,Performance,Pad,6Galaxy Tab S11 Ultra 5G (M-9400+ 12+256),881080,978957,367745,546662,2774444
Android,Performance,Pad,7Galaxy Tab S11 Ultra (M-9400+ 12+256),890012,962760,368787,547020,2768579
Android,Performance,Pad,8Galaxy Tab S11 (M-9400+ 12+256),834509,931800,356736,523278,2646323
Android,Performance,Pad,9Red Magic Pad Pro (S-8 Gen 3 OC 12+256),748982,871966,351001,586331,2558280
Android,Performance,Pad,10nubia Pad Pro (S-8 Gen 3 12+256),765541,818578,342996,601103,2528218
Android,Performance,Pad,11Legion Pad Y700 2025 (S-8 Gen 3 OC 12+256),702425,800694,337443,573688,2414250
Android,Performance,Pad,12Lenovo Yoga Pad Pro (S-8 Gen 3 12+256),690837,791957,361974,562770,2407538
Android,Performance,Pad,13Galaxy Tab S10 Ultra (M-9300+ 12+256),736893,756534,315994,450821,2260242
Android,Performance,Pad,14Lenovo Xiaoxin Pad Pro GT 11.1 (S-8 Gen 3 8+256),655488,667704,358913,568044,2250149
Android,Performance,Pad,15Galaxy Tab S10+ (M-9300+ 12+256),722855,687874,307585,459697,2178011
Android,Performance,Pad,16Mi Pad 7 Pro (S-8s Gen 3 12+512),570079,507681,342691,452781,1873232
Android,Performance,Pad,17HONOR MagicPad2 (S-8s Gen 3 12+256),582092,513856,276919,448458,1821325
Android,Performance,Pad,18Galaxy Tab S9 Ultra WiFi (S-8 Gen 2 OC 12+256),604357,448915,295527,440254,1789053
Android,Performance,Pad,19Mi Pad 6S Pro 12.4 (S-8 Gen 2 8+256),569253,423827,303134,468845,1765059
Android,Performance,Pad,20Poco Pad X1 (S-7+ Gen 3 8+512),561464,421578,332070,424369,1739481
Android,Performance,Pad,21Galaxy Tab S9 WiFi (S-8 Gen 2 OC 8+128),605182,451547,226731,429156,1712616
Android,Performance,Pad,22OnePlus Pad2 (S-8 Gen 3 12+256),654883,209786,287423,557358,1709450
Android,Performance,Pad,23Galaxy Tab S9+ WiFi (S-8 Gen 2 OC 12+256),575719,411557,277388,419763,1684427
Android,Performance,Pad,24Mi Pad 7 (S-7+ Gen 3 8+256),548554,419770,289018,415259,1672601
Android,Performance,Pad,25HONOR Pad V9 (M-8350 8+256),430459,482112,257563,367013,1537147
Android,Performance,Pad,26Lenovo Idea Tab Pro (M-8300-Ultra 8+256),448988,345410,313294,429132,1536824
Android,Performance,Pad,27Lenovo Xiaoxin Pad Pro 12.7 (M-8300 8+256),438570,349156,315954,423412,1527092
Android,Performance,Pad,28Legion Y700 2023 (S-8+ Gen 1 12+256),557099,243005,234844,448552,1483500
Android,Performance,Pad,29Mi Pad 6 Pro (S-8+ Gen 1 8+128),535524,236020,220834,415118,1407496
Android,Performance,Pad,30HUAWEI MatePad 12 X (K-T92B 12+256),476842,202139,319720,289582,1288283
Android,Performance,Pad,31Galaxy Tab S8 Ultra WiFi (S-8 Gen 1 12+256),473002,210876,221146,363926,1268950
Android,Performance,Pad,32HUAWEI MatePad Pro 12.2 2025 (K-T92A 12+512),493114,200146,281993,258298,1233551
Android,Performance,Pad,33Galaxy Tab S10 FE+ WiFi (E-1580 8+128),497635,292299,163307,268601,1221842
Android,Performance,Pad,34Galaxy Tab S10 FE (E-1580 8+128),494953,290272,162870,266436,1214531
Android,Performance,Pad,35Galaxy Tab S8 WiFi (S-8 Gen 1 8+128),442887,197162,195652,349226,1184927
Android,Performance,Pad,36Poco Pad M1 (S-7s Gen 4 8+256),415769,189047,168253,277900,1050969
Android,Performance,Pad,37HONOR Pad 10 (S-7 Gen 3 8+256),382242,214260,189210,256120,1041832
Android,Performance,Pad,38Redmi Pad 2 Pro (S-7s Gen 4 8+256),405406,190632,164456,278092,1038586
Android,Performance,Pad,39HUAWEI MatePad 11.5 (K-T82B 8+256),456531,135335,198913,220597,1011376
Android,Performance,Pad,40OnePlus Pad Go 2 (M-7300-Ultra 8+256),349877,133808,216484,310626,1010795
Android,Performance,Pad,41Mi Pad 6 (S-870 8+256),367026,146575,177238,277725,968564
Android,Performance,Pad,42HUAWEI MatePad 11 (S-865 6+128),372647,157531,158604,248795,937577
Android,Performance,Pad,43HUAWEI MatePad 11.5 2023 (S-7 Gen 1 8+128),362011,111166,157795,215696,846668
Android,Performance,Pad,44Mi Pad 5 (S-860 6+128),321099,132629,143452,242746,839926
Android,Performance,Pad,45Galaxy Tab A11+ (M-7300 6+128),314834,95491,199707,227345,837377
Android,Performance,Pad,46Poco Pad (S-7s Gen 2 8+256),305927,73201,181956,262143,823227
Android,Performance,Pad,47Redmi Pad Pro (S-7s Gen 2 6+128),309477,88758,134728,255535,788498
Android,Performance,Pad,48Galaxy Tab S9 FE+ (E-1380 8+128),310258,91882,118166,214239,734545
Android,Performance,Pad,49HUAWEI MatePad 11.5 2024 (K-8000 6+128),275364,96949,155078,199681,727072
Android,Performance,Pad,50Galaxy Tab S10 Lite  (E-1380 6+128),307452,91542,122076,202735,723805
Android,Performance,Pad,51Galaxy Tab S9 FE (E-1380 6+128),306448,89448,116036,208118,720050
Android,Performance,Pad,52Redmi Pad 2 (M-G100-Ultra 8+256),207490,44904,163414,169942,585750
Android,Performance,Pad,53Galaxy Tab A9+ 5G (S-695 8+128),243602,55885,109790,165470,574747
Android,Performance,Pad,54Galaxy Tab A9+ (S-695 4+64),247907,56816,104298,162042,571063
Android,Performance,Pad,55OPPO Pad SE (M-G100 4+128),212011,45831,143362,154572,555776
Android,Performance,Pad,56Redmi Pad (M-G99 6+128),209570,44578,128297,153278,535723
Android,Performance,Pad,57Galaxy Tab A9 (M-G99 4+64),223638,43506,112661,141236,521041
Android,Performance,Pad,58HONOR Pad X9a (S-680 6+128),190890,30119,146113,141965,509087
Android,Performance,Pad,59Lenovo Xiaoxin Pad 2024 (S-685 8+128),193755,29373,116377,115082,454587
Android,Performance,Pad,60Redmi Pad SE (S-680 8+256),176465,27522,97871,110061,411919
Android,Performance,Pad,61HONOR Pad X9 (S-680 4+128),178766,27907,82800,103369,392842
Android,Performance,Pad,62Redmi Pad SE 8.7 (M-G85 4+64),148541,27308,83830,102554,362233
Android,Performance,Pad,63Galaxy Tab S6 Lite Wi-Fi (E-9611 4+64),139724,27548,81073,86704,335049
Android,Performance,Pad,64HUAWEI MatePad SE 11 (S-685 6+128),130712,23257,106537,73806,334312
Android,Performance,Pad,65Galaxy Tab A7 (S-662 3+32),152724,23870,67264,73460,317318
